ScenarioID,eventName,currencyOfEvent,instrument,enabledOrderDirection,orderDirection,secondsBeforePending,secondsBeforeModify,secondsAfterNews,isOCO,manageMoney,calcAmountWithMaxSpread,weight,pointsAway,takeProfit,stopLoss,modifyGap,secondsAfterNewsOffset,breakevenTrigger,breakevenDistance,trailingStop,trailingAfter,trailImmediately,riskPercent,amount,maxSpread,maxSlippage,,,,,0
17,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,12.5,TRUE,TRUE,FALSE,1,17.03623406,0,3.669450915,0.1,0,0,0,10.9120576,1.589011139,TRUE,0.039,0.001,0,999,,,,,0
18,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,18.26307171,0,3.619914918,0.1,0,0,0,8.040633431,1.619946569,TRUE,0.039,0.001,0,999,1028.79,1,999,,28.79
19,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,15.05054261,0,3.833507122,0.1,0,0,0,4.931087679,1.379063426,TRUE,0.039,0.001,0,999,,,,,0
20,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,16.69862731,0,4.439165411,0.1,0,0,0,3.136767795,1.472334637,TRUE,0.039,0.001,0,999,1024.77,1,999,,24.77
1,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,11.9505365,0,4.458602798,0.1,0,0,0,6.20580338,1.497104045,TRUE,0.026,0.001,0,999,1080.38,0.666666667,5.785799523,,53.58666667
2,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,13.2553658,0,3.609708351,0.1,0,0,0,6.257588606,1.64015612,TRUE,0.026,0.001,0,999,,,,,0
3,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,11.21792583,0,4.164357565,0.1,0,0,0,8.300222931,1.571829822,TRUE,0.026,0.001,0,999,1066.99,0.666666667,4.108837209,,44.66
4,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,10.94347909,0,4.47218237,0.1,0,0,0,7.564645459,1.647798783,TRUE,0.026,0.001,0,999,,,,,0
5,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,12.36548037,0,4.343562948,0.1,0,0,0,9.884358556,1.49459372,TRUE,0.026,0.001,0,999,1066.1,0.666666667,3.463378176,,44.06666667
6,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,12.5,TRUE,TRUE,FALSE,1,12.79028223,0,3.622932348,0.1,0,0,0,7.402182398,1.363322983,TRUE,0.013,0.001,0,999,,,,,0
7,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,13.55040124,0,4.274261965,0.1,0,0,0,5.013828488,1.681104957,TRUE,0.013,0.001,0,999,1063.72,0.5,4.792959427,,31.86
8,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,12.5,TRUE,TRUE,FALSE,1,12.95776625,0,3.541535465,0.1,0,0,0,9.236944581,1.558813414,TRUE,0.013,0.001,0,999,,,,,0
9,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,12.99822987,0,4.406673578,0.1,0,0,0,13.67981548,1.629890673,TRUE,0.013,0.001,0,999,1057.96,0.666666667,3.159192825,,38.64
10,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,12.73928936,0,4.303078201,0.1,0,0,0,11.3587347,1.621230153,TRUE,0.013,0.001,0,999,,,,,0
11,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,17.41115268,0,3.873129767,0.1,0,0,0,10.38545192,1.412144369,TRUE,0.039,0.001,0,999,1076.2,1,999,,76.2
12,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,14.35151285,0,4.434313814,0.1,0,0,0,8.695839935,1.545145361,TRUE,0.039,0.001,0,999,,,,,0
13,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,16.5207558,0,4.413588177,0.1,0,0,0,7.497623,1.477237942,TRUE,0.039,0.001,0,999,1071.27,1,999,,71.27
14,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,12.5,TRUE,TRUE,FALSE,1,14.68412273,0,3.658114841,0.1,0,0,0,7.100994729,1.673621241,TRUE,0.039,0.001,0,999,,,,,0
