closeOnShutDown,pathEventCalendarCSV,pathMultiSettingCSV,isTest,isMultiScenarioRun,eventName,currencyOfEvent,testInstrument,enabledOrderDirection,pointsAway,takeProfit,stopLoss,modifyGap,secondsBeforePending,secondsBeforeModify,secondsAfterNews,secondsAfterNewsOffset,breakevenTrigger,breakevenDistance,trailingStop,trailingAfter,trailImmediately,isOCO,manageMoney,calcAmountWithMaxSpread,riskPercent,amount,maxSpread,maxSlippage,initDep,finishDep,commission,turnOver,eventPeriodsNbr,closedOrderNb,buyOrders,sellOrders,maxProfit,maxLoss,profitNb,lossNb,profitNbWithComm,lossNbWithComm,orderPercent,profitPercent,profitPercentWithComm,avrPLperevent,avrPLclosedorder,sumProfit,sumLoss,sumProfitCom,sumLossCom,PLrate,PLrateCom
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,2.0,3.4,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,995.54,31.130000000000003,648545.59,35,7,7,0,20.87,-16.35,4,3,4,3,0.2,0.5714285714285714,0.5714285714285714,-0.12742857142857247,-0.6371428571428623,55.8,-29.119999999999997,37.43000000000001,-41.89000000000001,1.9162087912087913,0.8935306755788971
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,2.0,3.4,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1030.33,51.11,1064796.5,35,11,11,0,22.1,-16.94,8,3,8,3,0.3142857142857143,0.7272727272727273,0.7272727272727273,0.8665714285714264,2.7572727272727207,113.24000000000001,-31.800000000000004,75.34,-45.019999999999996,3.561006289308176,1.6734784540204355
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,2.0,5.7,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1048.95,31.619999999999997,658828.7,35,7,7,0,47.93,-12.38,6,1,6,1,0.2,0.8571428571428571,0.8571428571428571,1.39857142857143,6.992857142857149,92.96000000000001,-12.38,65.81,-16.85,7.508885298869144,3.9056379821958456
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,2.0,5.7,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1048.95,31.619999999999997,658828.7,35,7,7,0,47.93,-12.38,6,1,6,1,0.2,0.8571428571428571,0.8571428571428571,1.39857142857143,6.992857142857149,92.96000000000001,-12.38,65.81,-16.85,7.508885298869144,3.9056379821958456
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,2.0,5.7,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1083.46,51.73,1078114.5,35,11,11,0,49.43,-14.57,10,1,10,1,0.3142857142857143,0.9090909090909091,0.9090909090909091,2.3845714285714297,7.5872727272727305,149.73,-14.57,102.6,-19.19,10.27659574468085,5.346534653465346
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,2.0,12.5,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1032.98,31.47,655689.1200000001,35,7,7,0,47.56,-20.33,6,1,6,1,0.2,0.8571428571428571,0.8571428571428571,0.9422857142857148,4.711428571428574,84.79,-20.33,57.74,-24.77,4.170683718642401,2.3310456197012517
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,2.0,12.5,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1032.98,31.47,655689.1200000001,35,7,7,0,47.56,-20.33,6,1,6,1,0.2,0.8571428571428571,0.8571428571428571,0.9422857142857148,4.711428571428574,84.79,-20.33,57.74,-24.77,4.170683718642401,2.3310456197012517
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,2.0,12.5,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1059.77,51.34,1069119.9500000002,35,11,11,0,48.73,-22.63,10,1,10,1,0.3142857142857143,0.9090909090909091,0.9090909090909091,1.7077142857142853,5.433636363636362,133.70999999999998,-22.63,86.94,-27.189999999999998,5.90852850198851,3.197499080544318
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1011.02,31.55,657012.97,35,7,7,0,22.82,-16.6,4,3,4,3,0.2,0.5714285714285714,0.5714285714285714,0.31485714285714234,1.5742857142857116,72.14999999999999,-29.560000000000002,53.559999999999995,-42.53,2.440798376184032,1.2593463437573476
closeOnShutDown,pathEventCalendarCSV,pathMultiSettingCSV,isTest,isMultiScenarioRun,eventName,currencyOfEvent,testInstrument,enabledOrderDirection,pointsAway,takeProfit,stopLoss,modifyGap,secondsBeforePending,secondsBeforeModify,secondsAfterNews,secondsAfterNewsOffset,breakevenTrigger,breakevenDistance,trailingStop,trailingAfter,trailImmediately,isOCO,manageMoney,calcAmountWithMaxSpread,riskPercent,amount,maxSpread,maxSlippage,initDep,finishDep,commission,turnOver,eventPeriodsNbr,closedOrderNb,buyOrders,sellOrders,maxProfit,maxLoss,profitNb,lossNb,profitNbWithComm,lossNbWithComm,orderPercent,profitPercent,profitPercentWithComm,avrPLperevent,avrPLclosedorder,sumProfit,sumLoss,sumProfitCom,sumLossCom,PLrate,PLrateCom
